playerID,yearID,season1,season2,season3,season4
blowemi01,1990,21,1,2,57
blowemi01,1991,1,2,57,49
blowemi01,1992,2,57,49,96
blowemi01,1993,57,49,96,38
blowemi01,1994,49,96,38,20
blowemi01,1995,96,38,20,71
hillech01,1962,48,33,17,22
hillech01,1963,33,17,22,14
hillech01,1964,17,22,14,5
hernara02,2000,62,60,42,78
hernara02,2001,60,42,78,63
hernara02,2002,42,78,63,58
hernara02,2003,78,63,58,91
hernara02,2004,63,58,91,62
hernara02,2005,58,91,62,65
hernara02,2006,91,62,65,37
hernara02,2007,62,65,37,48
hernara02,2008,65,37,48,36
hernara02,2009,37,48,36,28
spraged02,1992,7,73,44,74
spraged02,1993,73,44,74,101
spraged02,1994,44,74,101,48
spraged02,1995,74,101,48,58
spraged02,1996,101,48,58,81
spraged02,1997,48,58,81,36
demetdo01,1958,8,70,29,70
demetdo01,1959,70,29,70,107
demetdo01,1960,29,70,107,83
demetdo01,1961,70,107,83,80
demetdo01,1962,107,83,80,58
demetdo01,1963,83,80,58,41
davisch02,2009,59,4,19,85
davisch02,2010,4,19,85,138
davisch02,2011,19,85,138,72
roberbi01,1988,0,25,44,32
roberbi01,1989,25,44,32,45
roberbi01,1990,44,32,45,18
roberbi01,1991,32,45,18,31
roberbi01,1992,45,18,31,25
roberbi01,1993,18,31,25,52
roberbi01,1994,31,25,52,44
roberle01,1975,38,33,2,92
roberle01,1976,33,2,92,54
roberle01,1977,2,92,54,33
roberle01,1978,92,54,33,31
roberle01,1979,54,33,31,11
roberle01,1980,33,31,11,24
tysonmi01,1973,33,37,37,28
tysonmi01,1974,37,37,28,57
tysonmi01,1975,37,28,57,26
tysonmi01,1976,28,57,26,20
tysonmi01,1977,57,26,20,23
clarkro02,1967,11,13,12,0
clarkro02,1968,13,12,0,6
hopkiga01,1969,46,29,47,5
hopkiga01,1970,29,47,5,16
canoro01,2006,78,97,72,85
canoro01,2007,97,72,85,109
canoro01,2008,72,85,109,118
canoro01,2009,85,109,118,94
canoro01,2010,109,118,94,107
canoro01,2011,118,94,107,82
thompro01,1987,44,48,50,56
thompro01,1988,48,50,56,48
thompro01,1989,50,56,48,49
thompro01,1990,56,48,49,65
thompro01,1991,48,49,65,7
thompro01,1992,49,65,7,23
sizemgr01,2005,81,76,78,90
sizemgr01,2006,76,78,90,64
sizemgr01,2007,78,90,64,13
sizemgr01,2008,90,64,13,32
sizemgr01,2009,64,13,32,27
clinety01,1961,1,28,10,13
clinety01,1962,28,10,13,10
clinety01,1963,10,13,10,8
clinety01,1964,13,10,8,4
clinety01,1965,10,8,4,28
clinety01,1966,8,4,28,12
clinety01,1967,4,28,12,8
sweenry01,2007,5,45,53,36
sweenry01,2008,45,53,36,25
sweenry01,2009,53,36,25,16
sweenry01,2010,36,25,16,19
browndo01,2011,19,26,83,63
kunkeje01,1985,0,2,2,15
kunkeje01,1986,2,2,15,29
kunkeje01,1987,2,15,29,17
saboch01,1989,29,71,88,43
saboch01,1990,71,88,43,82
saboch01,1991,88,43,82,42
saboch01,1992,43,82,42,11
waitked01,1951,46,49,16,33
mendoma01,1975,2,12,4,3
