playerID,age,season1,season2,season3,season4
thompja01,25,121,126,54,156
thompja01,26,126,54,156,134
thompja01,27,54,156,134,138
thompja01,28,156,134,138,97
heathmi02,24,66,74,71,77
heathmi02,25,74,71,77,97
heathmi02,26,71,77,97,118
heathmi02,27,77,97,118,109
heathmi02,28,97,118,109,65
heathmi02,29,118,109,65,76
heathmi02,30,109,65,76,54
heathmi02,31,65,76,54,104
heathmi02,32,76,54,104,100
bankser01,23,163,176,160,169
bankser01,24,176,160,169,193
bankser01,25,160,169,193,179
bankser01,26,169,193,179,162
bankser01,27,193,179,162,142
bankser01,28,179,162,142,164
bankser01,29,162,142,164,98
bankser01,30,142,164,98,156
bankser01,31,164,98,156,162
bankser01,32,98,156,162,139
bankser01,33,156,162,139,158
bankser01,34,162,139,158,136
bankser01,35,139,158,136,143
bankser01,36,158,136,143,56
esaskni01,24,62,108,76,94
esaskni01,25,108,76,94,95
esaskni01,26,76,94,95,156
kellymi02,25,26,9,41,67
grothjo01,25,128,149,141,116
grothjo01,26,149,141,116,66
grothjo01,27,141,116,66,63
grothjo01,28,116,66,63,45
grothjo01,29,66,63,45,41
grothjo01,30,63,45,41,24
bosleth01,22,59,24,33,24
bosleth01,23,24,33,24,8
bosleth01,24,33,24,8,21
bosleth01,25,24,8,21,29
bosleth01,26,8,21,29,59
bosleth01,27,21,29,59,33
bosleth01,28,29,59,33,39
bosleth01,29,59,33,39,25
bosleth01,30,33,39,25,9
mageewe01,25,23,22,5,51
mageewe01,26,22,5,51,44
butlebi03,22,122,183,189,174
butlebi03,23,183,189,174,192
butlebi03,24,189,174,192,168
butlebi03,25,174,192,168,149
fieldpr01,22,154,165,162,177
fieldpr01,23,165,162,177,151
fieldpr01,24,162,177,151,170
fieldpr01,25,177,151,170,182
fieldpr01,26,151,170,182,174
fieldpr01,27,170,182,174,37
causewa01,20,15,2,86,77
causewa01,21,2,86,77,155
causewa01,25,86,77,155,170
causewa01,26,77,155,170,134
causewa01,27,155,170,134,58
causewa01,28,170,134,58,66
heepda01,23,24,24,47,64
heepda01,24,24,47,64,46
heepda01,25,47,64,46,76
heepda01,26,64,46,76,55
heepda01,27,46,76,55,16
heepda01,28,76,55,16,36
heepda01,29,55,16,36,96
heepda01,30,16,36,96,12
shamsar01,25,54,29,82,91
shamsar01,26,29,82,91,118
shamsar01,27,82,91,118,25
dadepa01,25,1,134,78,126
phillja02,30,37,0,37,66
huffau01,25,102,142,198,178
huffau01,26,142,198,178,150
huffau01,27,198,178,150,121
huffau01,28,178,150,121,154
huffau01,29,150,121,154,182
huffau01,30,121,154,182,129
huffau01,31,154,182,129,165
huffau01,32,182,129,165,128
cashke01,26,15,35,5,3
cashke01,27,35,5,3,32
cashke01,28,5,3,32,6
wainwad01,25,3,18,16,16
wainwad01,26,18,16,16,14
wainwad01,27,16,16,14,8
wainwad01,28,16,14,8,15
wainwad01,29,14,8,15,13
haltesh01,29,45,0,62,128
haltesh01,30,0,62,128,98
haltesh01,31,62,128,98,78
listapa01,26,87,16,73,76
fernach01,25,131,120,26,105
fernach01,26,120,26,105,108
fernach01,27,26,105,108,125
thomale03,26,169,116,150,141
thomale03,27,116,150,141,61
thomale03,28,150,141,61,42
phillmi01,24,62,104,67,39
phillmi01,25,104,67,39,44
phillmi01,26,67,39,44,22
phillmi01,27,39,44,22,30
phillmi01,28,44,22,30,18
phillmi01,29,22,30,18,1
ransoco01,26,2,6,17,8
ransoco01,27,6,17,8,13
ransoco01,28,17,8,13,15
ransoco01,31,8,13,15,8
ransoco01,32,13,15,8,5
ransoco01,33,15,8,5,54
kinerra01,29,164,126,157,159
alouje01,22,103,162,96,149
alouje01,23,162,96,149,110
alouje01,24,96,149,110,112
alouje01,25,149,110,112,140
alouje01,26,110,112,140,121
alouje01,27,112,140,121,29
alouje01,28,140,121,29,46
alouje01,29,121,29,46,59
alouje01,30,29,46,59,27
alouje01,31,46,59,27,45
pagnoto01,26,55,12,61,121
pagnoto01,27,12,61,121,121
pagnoto01,28,61,121,121,85
pagnoto01,29,121,121,85,66
pagnoto01,30,121,85,66,47
pagnoto01,31,85,66,47,110
pagnoto01,32,66,47,110,11
reitzke01,22,100,157,159,154
reitzke01,23,157,159,154,153
reitzke01,24,159,154,153,133
reitzke01,25,154,153,133,162
reitzke01,26,153,133,162,141
reitzke01,27,133,162,141,56
hilldo01,24,40,112,96,98
hilldo01,25,112,96,98,48
hilldo01,26,96,98,48,93
hilldo01,27,98,48,93,50
lawva01,25,9,101,99,121
lawva01,26,101,99,121,138
lawva01,27,99,121,138,81
lawva01,28,121,138,81,119
lawva01,29,138,81,119,163
lawva01,30,81,119,163,96
slaugdo01,25,86,108,96,83
slaugdo01,26,108,96,83,53
slaugdo01,27,96,83,53,91
slaugdo01,28,83,53,91,88
slaugdo01,29,53,91,88,69
slaugdo01,30,91,88,69,65
slaugdo01,31,88,69,65,88
slaugdo01,32,69,65,88,113
slaugdo01,33,65,88,113,69
slaugdo01,34,88,113,69,34
slaugdo01,35,113,69,34,76
templga01,21,200,181,211,161
templga01,22,181,211,161,96
templga01,23,211,161,96,139
templga01,24,161,96,139,121
templga01,25,96,139,121,127
templga01,26,139,121,127,154
templga01,27,121,127,154,126
templga01,28,127,154,126,113
templga01,29,154,126,113,90
templga01,30,126,113,90,129
templga01,31,113,90,129,125
castrst01,21,207,183,163,154
fregoji01,20,51,170,140,167
fregoji01,21,170,140,167,154
fregoji01,22,140,167,154,171
fregoji01,23,167,154,171,150
fregoji01,24,154,171,150,151
fregoji01,25,171,150,151,167
fregoji01,26,150,151,167,81
fregoji01,27,151,167,81,79
fregoji01,28,167,81,79,71
fregoji01,29,81,79,71,60
fregoji01,30,79,71,60,50
fregoji01,31,71,60,50,31
fregoji01,32,60,50,31,23
torrefr01,26,99,115,60,9
torrefr01,27,115,60,9,52
goodwto01,24,17,5,0,138
goodwto01,25,5,0,138,148
goodwto01,26,0,138,148,149
goodwto01,27,138,148,149,151
goodwto01,28,148,149,151,105
goodwto01,29,149,151,105,139
goodwto01,30,151,105,139,66
goodwto01,31,105,139,66,40
goodwto01,32,139,66,40,49
hillaa01,24,159,177,54,195
hillaa01,25,177,54,195,108
hillaa01,26,54,195,108,128
hillaa01,27,195,108,128,184
hillaa01,28,108,128,184,95
hillaa01,29,128,184,95,122
tollewa01,27,8,122,72,101
tollewa01,28,122,72,101,126
tollewa01,29,72,101,126,77
tollewa01,30,101,126,77,15
tollewa01,31,126,77,15,23
lopezhe01,27,153,115,147,153
lopezhe01,28,115,147,153,116
lopezhe01,29,147,153,116,54
lopezhe01,30,153,116,54,92
lopezhe01,31,116,54,92,108
lopezhe01,32,54,92,108,74
lopezhe01,33,92,108,74,74
davenji01,26,121,91,121,144
davenji01,27,91,121,144,116
davenji01,28,121,144,116,70
davenji01,29,144,116,70,68
davenji01,30,116,70,68,76
davenji01,31,70,68,76,81
davenji01,32,68,76,81,61
davenji01,33,76,81,61,73
grossga01,26,23,57,43,82
grossga01,27,57,43,82,64
vukovge01,25,10,91,77,133
mathije01,23,8,36,55,50
mathije01,24,36,55,50,40
mathije01,25,55,50,40,43
mathije01,26,50,40,43,46
mathije01,27,40,43,46,42
mathije01,28,43,46,42,35
herrejo03,26,63,68,59,57
herrejo03,27,68,59,57,21
nettlgr01,24,17,50,129,156
nettlgr01,25,50,129,156,141
nettlgr01,26,129,156,141,129
nettlgr01,27,156,141,129,139
nettlgr01,28,141,129,139,155
nettlgr01,29,129,139,155,148
nettlgr01,30,139,155,148,150
nettlgr01,31,155,148,150,162
nettlgr01,32,148,150,162,132
nettlgr01,33,150,162,132,79
nettlgr01,34,162,132,79,85
nettlgr01,35,132,79,85,94
nettlgr01,36,79,85,94,123
nettlgr01,37,85,94,123,90
nettlgr01,38,94,123,90,115
nettlgr01,39,123,90,115,77
nettlgr01,40,90,115,77,37
jonesbo02,26,1,35,3,9
jonesbo02,27,35,3,9,16
jonesbo02,28,3,9,16,37
jonesbo02,32,9,16,37,30
oberrmi01,26,10,20,10,10
oberrmi01,27,20,10,10,8
freesge02,22,43,98,52,107
freesge02,23,98,52,107,124
freesge02,24,52,107,124,159
freesge02,25,107,124,159,6
freesge02,26,124,159,6,53
freesge02,27,159,6,53,65
