playerID,age,season1,season2,season3,season4
blowemi01,25,21,1,2,57
blowemi01,26,1,2,57,49
blowemi01,27,2,57,49,96
blowemi01,28,57,49,96,38
blowemi01,29,49,96,38,20
blowemi01,30,96,38,20,71
hillech01,28,48,33,17,22
hillech01,29,33,17,22,14
hillech01,30,17,22,14,5
hernara02,24,62,60,42,78
hernara02,25,60,42,78,63
hernara02,26,42,78,63,58
hernara02,27,78,63,58,91
hernara02,28,63,58,91,62
hernara02,29,58,91,62,65
hernara02,30,91,62,65,37
hernara02,31,62,65,37,48
hernara02,32,65,37,48,36
hernara02,33,37,48,36,28
spraged02,25,7,73,44,74
spraged02,26,73,44,74,101
spraged02,27,44,74,101,48
spraged02,28,74,101,48,58
spraged02,29,101,48,58,81
spraged02,30,48,58,81,36
demetdo01,23,8,70,29,70
demetdo01,24,70,29,70,107
demetdo01,25,29,70,107,83
demetdo01,26,70,107,83,80
demetdo01,27,107,83,80,58
demetdo01,28,83,80,58,41
davisch02,23,59,4,19,85
davisch02,24,4,19,85,138
davisch02,25,19,85,138,72
roberbi01,25,0,25,44,32
roberbi01,26,25,44,32,45
roberbi01,27,44,32,45,18
roberbi01,28,32,45,18,31
roberbi01,29,45,18,31,25
roberbi01,30,18,31,25,52
roberbi01,31,31,25,52,44
roberle01,24,38,33,2,92
roberle01,25,33,2,92,54
roberle01,26,2,92,54,33
roberle01,27,92,54,33,31
roberle01,28,54,33,31,11
roberle01,29,33,31,11,24
tysonmi01,23,33,37,37,28
tysonmi01,24,37,37,28,57
tysonmi01,25,37,28,57,26
tysonmi01,26,28,57,26,20
tysonmi01,27,57,26,20,23
clarkro02,24,11,13,12,0
clarkro02,25,13,12,0,6
hopkiga01,26,46,29,47,5
hopkiga01,27,29,47,5,16
canoro01,24,78,97,72,85
canoro01,25,97,72,85,109
canoro01,26,72,85,109,118
canoro01,27,85,109,118,94
canoro01,28,109,118,94,107
canoro01,29,118,94,107,82
thompro01,25,44,48,50,56
thompro01,26,48,50,56,48
thompro01,27,50,56,48,49
thompro01,28,56,48,49,65
thompro01,29,48,49,65,7
thompro01,30,49,65,7,23
sizemgr01,23,81,76,78,90
sizemgr01,24,76,78,90,64
sizemgr01,25,78,90,64,13
sizemgr01,26,90,64,13,32
sizemgr01,27,64,13,32,27
clinety01,22,1,28,10,13
clinety01,23,28,10,13,10
clinety01,24,10,13,10,8
clinety01,25,13,10,8,4
clinety01,26,10,8,4,28
clinety01,27,8,4,28,12
clinety01,28,4,28,12,8
sweenry01,22,5,45,53,36
sweenry01,23,45,53,36,25
sweenry01,24,53,36,25,16
sweenry01,25,36,25,16,19
browndo01,24,19,26,83,63
kunkeje01,23,0,2,2,15
kunkeje01,24,2,2,15,29
kunkeje01,25,2,15,29,17
saboch01,27,29,71,88,43
saboch01,28,71,88,43,82
saboch01,29,88,43,82,42
saboch01,30,43,82,42,11
waitked01,32,46,49,16,33
mendoma01,25,2,12,4,3
mendoma01,26,12,4,3,29
mendoma01,27,4,3,29,14
mendoma01,28,3,29,14,22
dilonmi01,21,0,0,0,14
dilonmi01,22,0,0,14,7
dilonmi01,23,0,14,7,40
dilonmi01,24,14,7,40,19
dilonmi01,25,7,40,19,25
dilonmi01,26,40,19,25,7
dilonmi01,27,19,25,7,10
conlege01,24,3,4,4,2
conlege01,25,4,4,2,2
conlege01,26,4,2,2,5
conlege01,27,2,2,5,5
conlege01,28,2,5,5,8
conlege01,29,5,5,8,11
allenga01,25,10,25,33,30
allenga01,26,25,33,30,8
stankan01,29,0,5,7,9
stankan01,30,5,7,9,5
jonesda03,22,37,23,25,29
jonesda03,23,23,25,29,33
jonesda03,24,25,29,33,21
jonesda03,25,29,33,21,11
vealco01,27,15,8,8,0
belliro01,24,58,54,36,26
belliro01,25,54,36,26,50
belliro01,26,36,26,50,70
belliro01,27,26,50,70,78
belliro01,28,50,70,78,67
belliro01,29,70,78,67,58
belliro01,30,78,67,58,46
belliro01,31,67,58,46,39
gibsoki01,23,16,40,35,51
gibsoki01,24,40,35,51,91
gibsoki01,25,35,51,91,97
gibsoki01,26,51,91,97,86
gibsoki01,27,91,97,86,79
gibsoki01,28,97,86,79,76
gibsoki01,29,86,79,76,28
gibsoki01,30,79,76,28,38
gibsoki01,31,76,28,38,55
gibsoki01,32,28,38,55,5
gibsoki01,33,38,55,5,62
gibsoki01,34,55,5,62,72
beckhgo01,24,49,44,60,24
beckhgo01,25,44,60,24,44
mckinri01,25,46,7,7,0
mckinri01,26,7,7,0,2
wockejo01,26,13,10,25,22
wockejo01,27,10,25,22,46
wockejo01,28,25,22,46,65
wockejo01,29,22,46,65,25
wockejo01,30,46,65,25,32
wockejo01,31,65,25,32,44
wockejo01,32,25,32,44,24
niekrjo01,24,0,4,7,2
niekrjo01,25,4,7,2,1
niekrjo01,26,7,2,1,0
niekrjo01,27,2,1,0,0
niekrjo01,28,1,0,0,0
niekrjo01,29,0,0,0,1
niekrjo01,30,0,0,1,2
niekrjo01,31,0,1,2,5
niekrjo01,32,1,2,5,4
niekrjo01,33,2,5,4,10
niekrjo01,34,5,4,10,6
niekrjo01,35,4,10,6,5
niekrjo01,36,10,6,5,2
niekrjo01,37,6,5,2,6
niekrjo01,38,5,2,6,6.0
niekrjo01,39,2,6,6.0,0.0
niekrjo01,40,6,6.0,0.0,0.0
inglejo01,29,2,39,6,8
asproke01,27,27,14,48,19
asproke01,28,14,48,19,8
gomezch02,23,53,50,45,54
gomezch02,24,50,45,54,39
gomezch02,25,45,54,39,15
gomezch02,26,54,39,15,3
gomezch02,27,39,15,3,43
gomezch02,28,15,3,43,46
gomezch02,29,3,43,46,15
gomezch02,30,43,46,15,37
gomezch02,31,46,15,37,18
gomezch02,32,15,37,18,17
gomezch02,33,37,18,17,21
bradlph01,25,24,88,50,67
bradlph01,26,88,50,67,56
bradlph01,27,50,67,56,55
parrila02,22,41,65,82,46
parrila02,23,65,82,46,87
parrila02,24,82,46,87,114
parrila02,25,46,87,114,98
parrila02,26,87,114,98,98
parrila02,27,114,98,98,62
parrila02,28,98,98,62,67
parrila02,29,98,62,67,60
parrila02,30,62,67,60,50
parrila02,31,67,60,50,70
parrila02,32,60,50,70,51
parrila02,33,50,70,51,32
parrila02,34,70,51,32,2
parrila02,35,51,32,2,16
thompja01,23,105,96,79,90
thompja01,24,96,79,90,42
thompja01,25,79,90,42,101
thompja01,26,90,42,101,76
thompja01,27,42,101,76,74
thompja01,28,101,76,74,61
heathmi02,24,27,33,30,39
heathmi02,25,33,30,39,33
heathmi02,26,30,39,33,64
heathmi02,27,39,33,64,55
heathmi02,28,33,64,55,36
heathmi02,29,64,55,36,33
heathmi02,30,55,36,33,18
heathmi02,31,36,33,18,43
heathmi02,32,33,18,43,38
bankser01,23,79,117,85,102
bankser01,24,117,85,102,129
bankser01,25,85,102,129,143
