playerID,guess,at_least,season4
blowemi01,13.833361,10.5,106
blowemi01,58.833451,79.5,78
blowemi01,76.66682,58.5,113
blowemi01,100.166867,84.75,84
blowemi01,92.666852,63.0,44
blowemi01,68.833471,33.0,97
hillech01,77.166821,27.75,69
hillech01,62.333458,51.75,71
hillech01,64.666796,53.25,18
hernara02,102.166871,70.5,132
hernara02,116.500233,99.0,106
hernara02,112.666892,79.5,107
hernara02,110.833555,80.25,138
hernara02,122.333578,103.5,94
hernara02,110.833555,70.5,119
hernara02,113.833561,89.25,74
hernara02,92.333518,55.5,93
hernara02,91.000182,69.75,84
hernara02,85.333504,63.0,40
spraged02,97.666862,72.75,127
spraged02,119.500239,95.25,146
spraged02,131.500263,109.5,115
spraged02,127.333588,86.25,104
spraged02,114.666896,78.0,131
spraged02,119.333572,98.25,65
demetdo01,58.000116,34.5,103
demetdo01,82.666832,77.25,169
demetdo01,126.500253,126.75,133
demetdo01,140.00028,99.75,113
demetdo01,129.000258,84.75,108
demetdo01,113.833561,81.0,87
davisch02,49.666766,39.75,139
davisch02,91.000182,104.25,167
davisch02,138.666944,125.25,88
roberbi01,119.500239,129.0,119
roberbi01,133.3336,89.25,172
roberbi01,154.333642,129.0,70
roberbi01,112.166891,52.5,129
roberbi01,116.500233,96.75,90
roberbi01,99.666866,67.5,96
roberbi01,99.500199,72.0,130
roberle01,42.833419,1.5,142
roberle01,83.000166,106.5,122
roberle01,108.666884,91.5,94
roberle01,111.333556,70.5,65
roberle01,84.166835,48.75,41
roberle01,57.833449,30.75,55
tysonmi01,99.333532,73.5,70
tysonmi01,83.3335,52.5,103
tysonmi01,91.166849,77.25,88
tysonmi01,90.00018,66.0,42
tysonmi01,67.500135,31.5,81
clarkro02,32.166731,24.75,0
clarkro02,18.000036,0.0,14
hopkiga01,84.833503,61.5,15
hopkiga01,48.500097,11.25,34
canoro01,171.500343,121.5,204
canoro01,187.500375,153.0,200
canoro01,195.00039,150.0,188
canoro01,194.667056,141.0,196
canoro01,194.000388,147.0,190
canoro01,191.66705,142.5,187
thompro01,126.333586,99.0,122
thompro01,126.000252,91.5,129
thompro01,127.166921,96.75,115
thompro01,120.833575,86.25,154
thompro01,136.833607,115.5,27
thompro01,84.000168,20.25,75
sizemgr01,181.167029,130.5,170
sizemgr01,174.667016,127.5,108
sizemgr01,139.666946,81.0,27
sizemgr01,77.833489,20.25,60
sizemgr01,57.000114,45.0,81
clinety01,53.000106,30.75,35
clinety01,46.66676,26.25,42
clinety01,39.500079,31.5,24
clinety01,31.833397,18.0,33
clinety01,31.500063,24.75,65
clinety01,47.500095,48.75,50
clinety01,52.166771,37.5,18
sweenry01,109.166885,106.5,89
sweenry01,110.166887,66.75,70
sweenry01,88.33351,52.5,53
sweenry01,64.666796,39.75,51
browndo01,89.666846,101.25,111
kunkeje01,4.666676,5.25,35
kunkeje01,20.333374,26.25,79
kunkeje01,52.333438,59.25,34
saboch01,151.66697,131.25,84
saboch01,125.833585,63.0,143
saboch01,128.666924,107.25,66
saboch01,94.666856,49.5,20
waitked01,110.166887,54.0,88
mendoma01,15.166697,12.0,12
mendoma01,14.166695,9.0,74
mendoma01,43.666754,55.5,68
mendoma01,60.666788,51.0,53
dilonmi01,4.333342,4.5,59
dilonmi01,32.166731,44.25,28
dilonmi01,34.666736,21.0,180
dilonmi01,109.166885,135.0,78
dilonmi01,103.666874,58.5,89
dilonmi01,100.500201,66.75,13
dilonmi01,49.166765,9.75,47
conlege01,9.166685,5.25,9
conlege01,8.666684,6.75,3
conlege01,5.666678,2.25,16
conlege01,10.500021,12.0,8
conlege01,9.833353,6.0,16
conlege01,13.33336,12.0,18
allenga01,41.500083,40.5,53
allenga01,49.666766,39.75,19
stankan01,7.666682,4.5,22
stankan01,15.333364,16.5,24
jonesda03,59.166785,34.5,83
jonesda03,66.6668,62.25,74
jonesda03,72.333478,55.5,42
jonesda03,59.500119,31.5,35
vealco01,31.333396,33.0,0
belliro01,120.500241,72.0,61
belliro01,87.500175,45.75,124
belliro01,98.33353,93.0,169
belliro01,136.000272,126.75,152
belliro01,153.000306,114.0,148
belliro01,152.833639,111.0,148
belliro01,148.666964,111.0,85
belliro01,116.500233,63.75,73
gibsoki01,76.333486,55.5,91
gibsoki01,86.000172,68.25,150
gibsoki01,117.666902,112.5,167
gibsoki01,148.666964,125.25,118
gibsoki01,139.666946,88.5,135
gibsoki01,134.666936,101.25,157
gibsoki01,143.166953,117.75,54
gibsoki01,101.833537,40.5,82
gibsoki01,85.166837,61.5,109
gibsoki01,90.833515,81.75,11
gibsoki01,55.500111,8.25,105
gibsoki01,74.333482,78.75,91
beckhgo01,118.500237,92.25,99
beckhgo01,109.666886,74.25,101
mckinri01,33.3334,12.0,1
mckinri01,10.166687,0.75,1
wockejo01,37.666742,33.75,53
wockejo01,46.833427,39.75,61
wockejo01,55.666778,45.75,102
wockejo01,80.166827,76.5,37
wockejo01,62.666792,27.75,58
wockejo01,58.33345,43.5,66
wockejo01,58.500117,49.5,52
niekrjo01,9.833353,9.75,4
niekrjo01,7.500015,3.0,3
niekrjo01,5.00001,2.25,1
niekrjo01,2.166671,0.75,0
niekrjo01,0.833335,0.0,3
niekrjo01,1.66667,2.25,5
niekrjo01,3.500007,3.75,7
niekrjo01,5.666678,5.25,9
niekrjo01,7.666682,6.75,10
niekrjo01,9.166685,7.5,22
niekrjo01,15.833365,16.5,9
niekrjo01,13.500027,6.75,8
niekrjo01,10.666688,6.0,8
niekrjo01,8.166683,6.0,11
niekrjo01,9.500019,8.25,17.0
niekrjo01,13.500027,12.75,0.0
niekrjo01,7.500015,0.0,0.0
inglejo01,47.000094,18.75,36
asproke01,94.666856,99.75,69
asproke01,88.000176,51.75,27
gomezch02,103.166873,87.75,132
gomezch02,121.000242,99.0,120
gomezch02,123.500247,90.0,59
gomezch02,91.500183,44.25,12
gomezch02,45.666758,9.0,78
gomezch02,52.833439,58.5,122
gomezch02,89.000178,91.5,44
gomezch02,75.666818,33.0,96
gomezch02,83.000166,72.0,61
gomezch02,69.833473,45.75,45
gomezch02,58.833451,33.75,66
bradlph01,161.66699,122.25,179
bradlph01,175.833685,134.25,150
bradlph01,161.833657,112.5,151
parrila02,134.833603,118.5,85
parrila02,117.833569,63.75,138
parrila02,123.666914,103.5,163
parrila02,141.66695,122.25,137
parrila02,145.833625,102.75,150
parrila02,147.833629,112.5,84
parrila02,114.833563,63.0,114
parrila02,110.00022,85.5,91
parrila02,97.500195,68.25,103
parrila02,100.833535,77.25,126
parrila02,112.500225,94.5,87
parrila02,102.666872,65.25,64
parrila02,82.000164,48.0,4
parrila02,37.833409,3.0,34
thompja01,143.166953,90.75,126
thompja01,131.500263,94.5,54
thompja01,89.166845,40.5,156
thompja01,117.000234,117.0,134
thompja01,128.000256,100.5,138
thompja01,139.666946,103.5,97
heathmi02,71.166809,53.25,77
heathmi02,74.500149,57.75,97
heathmi02,86.000172,72.75,118
heathmi02,104.166875,88.5,109
heathmi02,110.00022,81.75,65
heathmi02,88.500177,48.75,76
heathmi02,77.833489,57.0,54
heathmi02,63.166793,40.5,104
heathmi02,82.666832,78.0,100
bankser01,165.833665,120.0,169
bankser01,167.167001,126.75,193
bankser01,179.500359,144.75,179
bankser01,182.000364,134.25,162
bankser01,172.833679,121.5,142
bankser01,154.833643,106.5,164
bankser01,156.333646,123.0,98
bankser01,127.333588,73.5,156
bankser01,138.000276,117.0,162
bankser01,149.333632,121.5,139
bankser01,149.500299,104.25,158
bankser01,152.333638,118.5,136
bankser01,143.833621,102.0,143
bankser01,143.166953,107.25,56
esaskni01,84.333502,57.0,94
esaskni01,90.333514,70.5,95
esaskni01,91.500183,71.25,156
kellymi02,27.833389,30.75,67
grothjo01,141.500283,105.75,116
grothjo01,129.833593,87.0,66
grothjo01,95.166857,49.5,63
grothjo01,72.833479,47.25,45
grothjo01,54.500109,33.75,41
grothjo01,46.000092,30.75,24
bosleth01,34.333402,24.75,24
bosleth01,27.000054,18.0,8
bosleth01,17.500035,6.0,21
bosleth01,17.166701,15.75,29
bosleth01,22.833379,21.75,59
bosleth01,42.666752,44.25,33
bosleth01,41.000082,24.75,39
bosleth01,40.333414,29.25,25
bosleth01,31.000062,18.75,9
mageewe01,13.666694,3.75,51
mageewe01,30.833395,38.25,44
butlebi03,175.833685,141.75,174
butlebi03,180.500361,130.5,192
butlebi03,185.500371,144.0,168
butlebi03,177.000354,126.0,149
fieldpr01,161.66699,121.5,177
fieldpr01,170.00034,132.75,151
fieldpr01,161.500323,113.25,170
fieldpr01,164.833663,127.5,182
fieldpr01,172.833679,136.5,174
fieldpr01,176.000352,130.5,37
causewa01,46.166759,64.5,77
causewa01,67.500135,57.75,155
causewa01,117.500235,116.25,170
causewa01,149.500299,127.5,134
causewa01,149.500299,100.5,58
causewa01,102.000204,43.5,66
heepda01,35.500071,35.25,64
heepda01,51.66677,48.0,46
heepda01,52.166771,34.5,76
heepda01,64.000128,57.0,55
heepda01,60.500121,41.25,16
heepda01,39.000078,12.0,36
heepda01,32.500065,27.0,96
heepda01,62.666792,72.0,12
shamsar01,59.666786,61.5,91
shamsar01,77.666822,68.25,118
shamsar01,103.000206,88.5,25
dadepa01,83.833501,58.5,126
phillja02,24.666716,27.75,66
huffau01,163.33366,148.5,178
huffau01,178.667024,133.5,150
huffau01,167.333668,112.5,121
huffau01,140.166947,90.75,154
huffau01,142.333618,115.5,182
huffau01,162.500325,136.5,129
huffau01,150.833635,96.75,165
huffau01,155.833645,123.75,128
cashke01,16.6667,3.75,3
cashke01,9.000018,2.25,32
cashke01,17.833369,24.0,6
wainwad01,14.500029,12.0,16
wainwad01,16.333366,12.0,14
wainwad01,15.00003,10.5,8
wainwad01,11.333356,6.0,15
wainwad01,12.500025,11.25,13
haltesh01,38.500077,46.5,128
haltesh01,84.666836,96.0,98
haltesh01,102.000204,73.5,78
listapa01,56.333446,54.75,76
fernach01,74.833483,19.5,105
